ID,Active,Title,Context,Category,Tags,Timeline,Description,Tech,Image,Thumb,PublicURL,ProjectURL,SourceURL
K10_00,0,10k Interactive,,,,,,,,,,,
K10_01,1,MyLNI,Orca Software,JS Application,,"January, 2015 - May, 2015","MyLNI represents the first major expansion of the Washington State Labor &amp; Industries eGovernment initiative. This project is a wrapper application for the many individual applications within the LNI ecosystem. I performed work implementing the UI for the Employer Dashboard, an aggregate visualization of primary LNI entities, including claims, insurance accounts, and general safety information.","Backbone, Marionette, Underscore, Jquery, ES5, Sass, Require, Node, Bower, Gulp, Grunt, .NET, VB","K10_01__01, 
K10_01__02,
K10_01__03,
K10_01__04,
K10_01__05,
K10_01__06",,secure.lni.wa.gov/home,10k-interactive.com\projects\MyLNI,
K10_02,1,Secure Message Center,Orca Software,JS Application,,"May, 2015 - Feb, 2016",,"Backbone, Marionette, Underscore, Jquery, ES5, Sass, Require, Node, Bower, Gulp, Grunt, .NET, VB","K10_02__01,
K10_02__02,
K10_02__03,
K10_02__04,
K10_02__05,
K10_02__06",,,,
K10_03,0,Electronic Plan Submittal ,Orca Software,UX Prototype,,,Prototype design via UXPin ,"UXPin, Wireframe Prototype, UX, UCD",,,,,
K10_04,0,10k-Interactive.com,10k Interactive,Content Site,,"Jan, 2016 - Ongoing",,"Backbone, Marionette, Underscore, Jquery, ES5, Sass, Require, Node, Bower, Gulp",,,,,
K10_05,1,10k Logo,10k Interactive,Graphic Design,,"Sep, 2015 - ",,"Illustrator, Photoshop","K10_05__01,
K10_05__02,
K10_05__03,
K10_05__04",,,,
Wax_00,0,Waxwing Interactive,,,,,,,,,,,
Wax_01,1,N8 Site Builder,Waxwing Interactive,"JS Application, CMS",,,,,,,,,
Wax_02,1,ChiroHosting.com,Waxwing Interactive,Sales Site,,,,,,,,,
Wax_03,1,WaxwingLegal.com,Waxwing Interactive,Sales Site,,,,,,,,,
Wax_04,1,WaxwingLegal Logo,Waxwing Interactive,Graphic Design,,,,,,,,,
WCI_00,0,Washington CI,,,,,,,,,,,
WCI_01,1,WashingtonCI.com,Washington CI,Ecommerce Site,,"Jan, 2011 - Jan, 2012",,"Magento, PHP, MySQL, JS, JQuery, HTML, CSS, Photoshop, Illustrator",,,,,
WCI_02,0,Your Market : Governent,Washington CI,Flash Micro-Site,,,,,,,,,
WCI_03,1,Your Market : Non-Profits,Washington CI,Flash Micro-Site,,,,,,,,,
WCI_04,0,Your Market : Higher Ed,Washington CI,Flash Micro-Site,,,,,,,,,
WCI_05,0,Your Market : K12,Washington CI,Flash Micro-Site,,,,,,,,,
WCI_06,0,Your Market : Public Safety,Washington CI,Flash Micro-Site,,,,,,,,,
WCI_07,0,Product Photography,Washington CI,Photography,,,,,,,,,
WCI_08,0,3D Rendering,Washington CI,3D Imaging,,,,,,,,,
WCI_09,0,Persona Illustrations,Washington CI,Illustration,,,,,,,,,
PER_00,0,Personal ,,,,,,,,,,,
PER_01,0,joshbosworth.com,,,,,,,,,,,
PER_02,0,Workbench ,,,,,,,,,,,
PER_03,0,CodePen.io,,,,,,,,,,,
PER_04,0,EightyDays,,,,,,,,,,,
PER_05,0,3D Wasp model,,,,,,,,,,,
PER_06,0,Illustrations / Behance,,,,,,,,,,,
NFZ_00,0,,,,,,,,,,,,
NFZ_01,0,InFusion Flash Site,,,,,,,,,,,
NFZ_02,0,InFusion Flash Logo,,,,,,,,,,,
NFZ_03,0,InFusion Illustration,,,,,,,,,,,